RXCUI	ATC
1876012	"[""N03AX14""]"
1876116	"[""D01AC02"", ""D08AC02"", ""D09AA12""]"
1923829	"[""V03AC03""]"
197351	"[""B02AA01""]"
197561	"[""C02AA05""]"
1919082	"[""N02BE01"", ""R05DA09""]"
1235391	"[""D11AX11""]"
1236129	"[""N02AA08"", ""R01BA02"", ""R05CA03""]"
1242998	"[""L01XJ01""]"
1243026	"[""A10BD11""]"
1245430	"[""C10BA02""]"
1251629	"[""N05CA03""]"
1293331	"[""N02BE01"", ""R01BA02"", ""R05DA09"", ""R06AB04""]"
1293504	"[""N02CA02"", ""N02CA52"", ""N06BC01""]"
1293727	"[""D07XA01""]"
1298445	"[""R01BA02"", ""R05CA03""]"
1299773	"[""C01CA02"", ""R03AB02"", ""R03CB01""]"
1300437	"[""R05CA03"", ""R05DB05""]"
1304533	"[""R01BA02"", ""R06AB01""]"
1305757	"[""G03AA11""]"
1305789	"[""R01BA02"", ""R05DB05""]"
1305784	"[""R01BA02"", ""R05DA03""]"
1305783	"[""R01BA02"", ""R05DA03"", ""R06AB01""]"
1307309	"[""L02BB04""]"
1356495	"[""C05AD03"", ""C05BB05"", ""D04AB04"", ""D08AE03""]"
1356803	"[""M02AC""]"
1356802	"[""R05DA04""]"
1356841	"[""R01BA53"", ""R06AB01""]"
1357553	"[""N02BE01"", ""R05DA09"", ""R06AB04""]"
1357908	"[""R05CA03"", ""R05DA09""]"
1358514	"[""R01BA02"", ""R05CA03""]"
1362958	"[""B01AB01"", ""C05BA03""]"
1363309	"[""R06AB04""]"
1363382	"[""A02AC01"", ""A02AD05""]"
1363493	"[""R01AA07""]"
1369962	"[""A07BC01"", ""A07BC02""]"
1372312	"[""R01BA03""]"
1376059	"[""S01BA01"", ""S01CB01"", ""S03BA01""]"
1422064	"[""D08AC02"", ""D09AA12""]"
1422943	"[""R05DA09""]"
1425448	"[""D08AX01"", ""D11AX25""]"
1425446	"[""D08AX01"", ""D11AX25""]"
197893	"[""N05AN01""]"
1431104	"[""N07BC51""]"
1435630	"[""C09AA02""]"
1437678	"[""D08AX01"", ""D11AX25""]"
1442285	"[""D10AE01""]"
1494214	"[""D02AB""]"
150750	"[""C07AB03""]"
153048	"[""N05AH03""]"
1539545	"[""R01BA03""]"
1541228	"[""L04AX03""]"
1545780	"[""L01AD02""]"
1549312	"[""D01AC02""]"
1593116	"[""N02BE01""]"
1595159	"[""P03AX05""]"
1597076	"[""G03BA03""]"
1599815	"[""C05AD01"", ""C05AD07"", ""D04AB01"", ""D04AB07"", ""D08AC02"", ""D09AA12"", ""N01BB02""]"
1742222	"[""B05AA01""]"
1745886	"[""N02AA01""]"
1797059	"[""D02AB""]"
1808604	"[""R05CA03"", ""R05DA09""]"
1809834	"[""C05AX04""]"
1860100	"[""B03AA07""]"
1860129	"[""N02AA05""]"
1925257	"[""L04AA24""]"
1941607	"[""R03BA05""]"
197429	"[""N02BA01""]"
