rxcui,drug_name,tty,current_final,production,bucket,qa_prior,qa_cat
1046611,naphazoline hydrochloride 0.5 MG/ML Nasal Spray [Privine],SBD,R01AA08,S01GA01,A4-combo-single,CHANGE_CORRECT,
1046840,Salicylic Acid 20 MG/ML Medicated Liquid Soap [Glytone Acne],SBD,D01AE12,D01AE12|N02BA04,A4-combo-single,,
1048307,"hyoscyamine sulfate 0.12 MG / methenamine 120 MG / methylene blue 10 MG / phenyl salicylate 36 MG / sodium phosphate, monobasic 40.8 MG Oral Capsule",SCD,G04BX12,A03BA03|G04BX12|J01XX05,A4-combo-single,CHANGE_WRONG,other
1049256,benzalkonium chloride 1.3 MG/ML Topical Solution [Benza],SBD,D08AJ01|D09AA11,D08AJ01|D08AJ08|R02AA16,A2-combo-multi,,
1085644,triamcinolone acetonide 0.25 MG/ML Topical Cream,SCD,D07AB09,A01AC01|H02AB08|R01AD11,A4-combo-single,,
244413,amphotericin B 0.03 MG/MG Topical Ointment,SCD,A01AB04|A07AA07|G01AA03|J02AA01,A01AB04|A07AA07|J02AA01,A2-combo-multi,,
249415,lysine 500 MG Oral Capsule,SCD,V06DD,B05XB03,A3-single-single,UNSURE,no-who-code-exists
261119,metronidazole 7.5 MG/ML Topical Lotion [MetroLotion],SBD,D06BX01,A01AB17|D06BX01|P01AB01,A4-combo-single,,
1660175,Lidocaine 0.045 MG/MG / Menthol 0.05 MG/MG Medicated Patch [Lidothol],SBD,D04AB01,D04AB01|N01BB02|R02AD02,A4-combo-single,,
1092398,aspirin 500 MG / diphenhydramine hydrochloride 25 MG Oral Tablet,SCD,N02BA01|N02BA51,B01AC06|D04AA32|N02BA01|N02BA51|R06AA02,A2-combo-multi,,
1145110,azelaic acid 5 MG / cupric oxide 1.5 MG / folic acid 0.5 MG / niacinamide 600 MG / pyridoxine 5 MG / zinc oxide 10 MG Oral Tablet,SCD,A11JC,A11HA01|A11HA02|B03BB01,A4-combo-single,,
1234519,hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML Topical Cream [Pramosone],SBD,D07XA01,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A4-combo-single,,
1001689,{2 (480 ML) (magnesium sulfate 0.0277 MEQ/ML / potassium sulfate 0.0374 MEQ/ML / sodium sulfate 0.257 MEQ/ML Oral Solution) } Pack,GPCK,A06AD04,A06AD04|B05XA05,A4-combo-single,,
1020062,sulfacetamide sodium 100 MG/ML / sulfur 40 MG/ML Topical Foam [Rosula],SBD,D10AB02|D10AF06,D10AB02,A2-combo-multi,,
1037241,carbetapentane citrate 30 MG / guaifenesin 400 MG / phenylephrine hydrochloride 10 MG Oral Tablet,SCD,R01BA03|R05CA03|R05DB05,R05CA03|R05DB05,A2-combo-multi,,
1047786,"hyoscyamine sulfate 0.12 MG / methenamine 81.6 MG / methylene blue 10.8 MG / phenyl salicylate 36.2 MG / sodium phosphate, monobasic 40.8 MG Oral Tablet",SCD,G04BX12,A03BA03|G04BX12|J01XX05,A4-combo-single,,
1049285,benzalkonium chloride 1.2 MG/ML Topical Lotion,SCD,D08AJ01,D08AJ01|D08AJ08|R02AA16,A4-combo-single,,
1053740,nystatin 100 UNT/MG / triamcinolone acetonide 0.001 MG/MG Topical Ointment [Tri-Statin],SBD,C05AA12|D01AA01|D07AB09|D07XB02,A01AB11|A01AC01|A07AA02|D01AA01|H02AB08|R01AD11,A2-combo-multi,,
1085738,triamcinolone acetonide 0.147 MG/ML Topical Spray [Kenalog],SBD,D07AB09,A01AC01|H02AB08|R01AD11,A4-combo-single,,
1085992,triamcinolone hexacetonide 5 MG/ML Injectable Suspension,SCD,A01AC01|C05AA12|H02AB08|R03BA06,A01AC01|H02AB08|R01AD11,A2-combo-multi,,
