rxcui,atcprod_l4s,candidate_l5,coverage
1048307,G04BX,G04BX12,COVERED
1660175,,,MISS
1085644,D07AB,D07AB09,COVERED
1046611,R01AA,R01AA08,COVERED
1092398,N02BA,N02BA01,COVERED
1020062,,,MISS
1037241,,,MISS
261119,D06BX,D06BX01,COVERED
1234519,D07XA,D07XA01,COVERED
1192923,A06AG,,COVERED
249415,V06DD,,COVERED
1053740,,,MISS
1085992,,,MISS
1001689,A06AD,A06AD13,COVERED
1047786,G04BX,G04BX12,COVERED
1086316,,,MISS
1049285,D08AJ,D08AJ01,COVERED
1667878,,,MISS
1085738,D07AB,D07AB09,COVERED
1037070,,,MISS
1658271,,,MISS
260393,,,MISS
1660750,,,MISS
283373,,,MISS
1190166,,,MISS
106222,D04AB,D04AB01,COVERED
1145110,A11JC,,COVERED
245489,A11CA,A11CA02,COVERED
2056893,R05DA,R05DA04,COVERED
834177,,,MISS
853134,M02AB,M02AB01,COVERED
208649,,,MISS
208589,,,MISS
206535,B05BC,B05BC01,COVERED
313138,J01EB,J01EB06,COVERED
210110,,,MISS
2168528,,,MISS
1114604,,,MISS
2099286,R05DA,R05DA04,COVERED
2184153,,,MISS
1115831,,,MISS
1087180,,,MISS
211189,N02BE,N02BE01,COVERED
996759,,,MISS
1148952,,,MISS
377500,D05AA,,COVERED
1235496,,,MISS
485166,,,MISS
859216,,,MISS
2108020,S01BA,S01BA01,COVERED
801034,B05BA,,COVERED
1039556,,,MISS
259047,,,MISS
577237,D06BX,D06BX01,COVERED
858772,N02AJ,N02AJ23,COVERED
284328,,,MISS
1658672,,,MISS
1010895,D04AB,D04AB01,COVERED
