rxcui,final_codes,fix_source
1494599,R06AA02,atcprod-confirmed
1543432,D04AB04,atcprod-confirmed
1608477,V06DC01,atcprod-confirmed
1744011,J05AR03,atcprod-confirmed
1243014,L01EK01,atcprod-confirmed
1297390,R01BA02,atcprod-confirmed
1375954,R06AA09,atcprod-confirmed
1442274,D04AB01,atcprod-confirmed
1549447,D04AB01,atcprod-confirmed
1809056,N01BA03,atcprod-promote-L4toL5
1868485,B05XA02,atcprod-confirmed
1872091,D08AJ08,atcprod-confirmed
1602356,D10AF06,atcprod-promote-L4toL5
647127,H02AB06,atcprod-confirmed
687211,P01AB01,atcprod-confirmed
757665,B02BD30,atcprod-confirmed
748321,B02BD30,atcprod-confirmed
792577,B05XA02,atcprod-confirmed
884783,D08AX08,atcprod-confirmed
310434,N02BF01,atcprod-confirmed
199219,M09AB03,atcprod-confirmed
198301,H02AB08,atcprod-confirmed
2045409,H02AB02,atcprod-confirmed
998528,D01AC02,atcprod-confirmed
995081,R05DA04,atcprod-confirmed
805370,D10AD01,atcprod-confirmed
749796,N01BA05,atcprod-confirmed
904783,D07XA01,atcprod-confirmed
877014,D01AE12,atcprod-confirmed
198494,D04AB04,atcprod-confirmed
204498,G03CB02,atcprod-confirmed
2049723,D04AB01,atcprod-confirmed
797885,D01AE12,atcprod-confirmed
310963,M01AE01,atcprod-confirmed
207248,D01AC11,atcprod-confirmed
998671,C02AC01,atcprod-confirmed
313408,S01ED01,atcprod-confirmed
315183,A12BA01,atcprod-confirmed
804919,B02BC06,atcprod-confirmed
2117608,B05XA19,atcprod-confirmed
2118551,D04AB01,atcprod-confirmed
807284,B05XA02,atcprod-confirmed
1234512,D07XA01,atcprod-confirmed
1014314,D07AB09,atcprod-confirmed
1042693,R05DA04,atcprod-confirmed
1046353,R02AD01,atcprod-confirmed
1085680,H02AB08,atcprod-confirmed
1116499,D07XA01,atcprod-confirmed
1011767,D04AB01,atcprod-confirmed
1043325,D08AJ08,atcprod-confirmed
1052620,D04AB04,atcprod-confirmed
603929,C05AD03,atcprod-confirmed
1000861,D10AF06,atcprod-promote-L4toL5
360348,N01BA05,atcprod-confirmed
348719,J01GB01,atcprod-confirmed
1111764,D04AA32,atcprod-promote-L4toL5
1991413,L01FF01,atcprod-confirmed
2055026,S01XA18,atcprod-confirmed
1989112,C01CA24,atcprod-confirmed
849742,D04AB04,atcprod-confirmed
1092461,R06AA02,atcprod-confirmed
1093377,R06AA02,atcprod-confirmed
1112942,D04AB04,atcprod-confirmed
1010033,N01BB02,atcprod-confirmed
1039699,D08AX08,atcprod-confirmed
103439,D07AB08,atcprod-confirmed
1011854,D04AB01,atcprod-confirmed
1044265,D08AG02,atcprod-confirmed
2590,D07AD01|S01BA17,ingredient-level-kept
1191692,D04AB01,atcprod-confirmed
1234533,D04AB07,atcprod-confirmed
1737343,C01BB01,atcprod-confirmed
1010755,N01BB02,atcprod-confirmed
198776,N01BX03,atcprod-confirmed
